stockcode,description,total_quantity,total_revenue,total_orders,unique_customers,description_clean
84908A,PINK 5 PATCH FLOWER CUSHION COVER ,388,776.6,7,4,pink 5 patch flower cushion cover
84908B,BLUE 5 PATCH FLOWER CUSHION COVER,385,755.75,5,2,blue 5 patch flower cushion cover
84909A,PINK PAISLEY QUILT ,208,2784.8,29,24,pink paisley quilt
84910A,PINK PAISLEY CUSHION COVER ,414,1070.1000000000001,40,37,pink paisley cushion cover
84912A,PINK ROSE WASHBAG,894,2302.5,97,59,pink rose washbag
84912B,GREEN ROSE WASHBAG,878,2242.5,84,56,green rose washbag
84913A,SOFT PINK ROSE TOWEL ,114,530.1,32,26,soft pink rose towel
84913B,MINT GREEN ROSE TOWEL,108,502.20000000000005,30,27,mint green rose towel
84914A,PINK ROSE PICNIC RUG,3,77.85,2,2,pink rose picnic rug
84915,HAND TOWEL PINK FLOWER AND DAISY,210,347.4,18,15,hand towel pink flower and daisy
84916,HAND TOWEL PALE BLUE W FLOWERS,233,532.35,30,28,hand towel pale blue w flowers
84917,WHITE HAND TOWEL WITH BUTTERFLY,183,477.85,17,16,white hand towel with butterfly
84918,CREAM C/COVER W YELLOW/GREEN FLOWER,10,69.5,3,3,cream c cover w yellow green flower
84918,CREAM CUSHION COVER WITH FLOWERS,103,355.85,14,13,cream cushion cover with flowers
84919,BLUE CUSHION COVER WITH FLOWER,254,1365.3,19,18,blue cushion cover with flower
84919,L BLUE C/COVER W PINK/YELLOW FLOWER,6,41.7,2,2,l blue c cover w pink yellow flower
84920,PINK FLOWER FABRIC PONY,152,563.6,54,43,pink flower fabric pony
84921,CREAM AND PINK FLOWERS PONY ,31,116.25,14,13,cream and pink flowers pony
84922,PINK BUTTERFLY WASHBAG,335,748.75,10,9,pink butterfly washbag
84923,PINK BUTTERFLY HANDBAG W BOBBLES,10,85.0,5,5,pink butterfly handbag w bobbles
84924A,WAKE UP COCKEREL CALENDAR SIGN ,123,472.38,46,41,wake up cockerel calendar sign
84924D,LA PALMIERA METAL SIGN CALENDAR,760,246.0,12,11,la palmiera metal sign calendar
84924F,PSYCHEDELIC METAL SIGN CALENDAR,973,259.15,8,8,psychedelic metal sign calendar
84925A,WAKE UP COCKEREL WALL THERMOMETER,177,328.95,15,14,wake up cockerel wall thermometer
84925C,FAIRY CAKES  WALL THERMOMETER,28,71.39999999999999,10,10,fairy cakes wall thermometer
84925D,LA PALMIERA WALL THERMOMETER,453,680.0,26,24,la palmiera wall thermometer
84925E,FLOWERS WALL THERMOMETER,75,130.05,3,3,flowers wall thermometer
84925F,PSYCHEDELIC WALL THERMOMETER,713,863.03,31,29,psychedelic wall thermometer
84926A,WAKE UP COCKEREL TILE COASTER,655,270.59,42,29,wake up cockerel tile coaster
84926B,SCOTTS ROSES TILE COASTER,54,67.5,10,8,scotts roses tile coaster
84926C,FAIRY CAKES TILE COASTER,127,158.75,19,17,fairy cakes tile coaster
84926D,LA PALMIERA TILE COASTER,766,342.89,38,29,la palmiera tile coaster
84926E,FLOWERS TILE COASTER,1104,472.34,48,40,flowers tile coaster
84926F,PSYCHEDELIC TILE COASTER,466,231.75,30,24,psychedelic tile coaster
84927A,WAKE UP COCKEREL TILE HOOK,218,124.17,25,22,wake up cockerel tile hook
84927D,LA PALMIERA TILE HOOK,950,195.0,24,22,la palmiera tile hook
84927E,FLOWERS TILE HOOK,489,203.34,24,22,flowers tile hook
84927F,PSYCHEDELIC TILE HOOK,324,227.25,51,44,psychedelic tile hook
84929,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,2952,928.32,90,82,asstd fruit flowers fridge magnets
84931A,PINK SCOTTIE DOG W FLOWER PATTERN,151,382.35,47,42,pink scottie dog w flower pattern
84931B,BLUE SCOTTIE DOG W FLOWER PATTERN,224,565.8,52,44,blue scottie dog w flower pattern
84932A,SMALL GREEN PEONY FOLDING STOOL,262,602.6,24,22,small green peony folding stool
84932B,SMALL PINK PEONY FOLDING STOOL,189,401.3,17,17,small pink peony folding stool
84932C,SMALL ORIENTAL BLUE FOLDING STOOL,282,615.4,34,31,small oriental blue folding stool
84932D,SMALL ORIENTAL RED FOLDING STOOL,237,540.75,19,16,small oriental red folding stool
84933A,LARGE GREEN PEONY FOLDING STOOL,131,314.34999999999997,6,5,large green peony folding stool
84933B,LARGE PINK PEONY FOLDING STOOL,136,309.15,6,5,large pink peony folding stool
84933C,LARGE BLUE ORIENTAL FOLDING STOOL,136,317.0,6,6,large blue oriental folding stool
84934,ASSTD DESIGN POP ART SLIM PEN,684,581.4,12,12,asstd design pop art slim pen
84937,KASHMIR FOLKART TUMBLERS,2487,4829.92,83,50,kashmir folkart tumblers
84942,KASHMIR FOLKART HEART DISHES,3,5.07,3,3,kashmir folkart heart dishes
84944,SET OF 6 KASHMIR FOLKART BAUBLES,932,2580.4,149,122,set of 6 kashmir folkart baubles
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,22134,17616.12,585,344,multi colour silver t light holder
84946,ANTIQUE SILVER T-LIGHT GLASS,12973,15206.42,534,348,antique silver t light glass
84946,ANTIQUE SILVER TEA GLASS ETCHED,19508,22588.36,789,413,antique silver tea glass etched
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,15343,17543.0,559,312,antique silver tea glass engraved
84948,SILVER HANGING T-LIGHT HOLDER DOME,274,452.1,33,28,silver hanging t light holder dome
84949,SILVER HANGING T-LIGHT HOLDER,11965,18517.05,612,330,silver hanging t light holder
84950,ASSORTED COLOUR T-LIGHT HOLDER,7554,4767.94,221,156,assorted colour t light holder
84951A,S/4 PISTACHIO LOVEBIRD COASTERS,69,97.94999999999999,5,5,s 4 pistachio lovebird coasters
84951A,SET OF 4 PISTACHIO LOVEBIRD COASTER,394,394.11,41,33,set of 4 pistachio lovebird coaster
84951B,S/4 BLACK LOVEBIRD COASTERS,10,25.5,3,3,s 4 black lovebird coasters
84951B,SET OF 4 BLACK LOVEBIRD COASTERS,356,374.54,37,29,set of 4 black lovebird coasters
84952A,CLEAR LOVE BIRD T-LIGHT HOLDER,102,316.61,14,13,clear love bird t light holder
84952B,BLACK LOVE BIRD T-LIGHT HOLDER,374,571.61,21,15,black love bird t light holder
84952C,MIRROR LOVE BIRD T-LIGHT HOLDER,381,654.15,24,18,mirror love bird t light holder
84962,SET/3 COLOUR PAINTED KASHMIRI STOOL,3,179.85000000000002,2,2,set 3 colour painted kashmiri stool
84963A,PINK PAINTED KASHMIRI CHAIR,26,885.2,8,8,pink painted kashmiri chair
84963B,BLUE PAINTED KASHMIRI CHAIR,18,591.5,6,5,blue painted kashmiri chair
84964A,PINK PAINTED KASHMIRI TABLE,11,630.0,2,2,pink painted kashmiri table
84964B,BLUE PAINTED KASHMIRI TABLE ,17,990.0,2,2,blue painted kashmiri table
84965A,PINK KASHMIRI COFFEE TABLE ,20,1050.0,3,2,pink kashmiri coffee table
84965B,BLUE KASHMIRI COFFEE TABLE ,27,1359.95,4,3,blue kashmiri coffee table
84966A,PINK KASHMIRI BOXED MIRROR,12,176.0,3,3,pink kashmiri boxed mirror
84966B,BLUE KASHMIRI BOXED MIRROR,33,428.0,4,3,blue kashmiri boxed mirror
84966C,GREEN KASHMIRI BOXED MIRROR,23,276.0,2,1,green kashmiri boxed mirror
84967A,PINK KASHMIRI OCCASIONAL TABLE,2,94.95,2,2,pink kashmiri occasional table
84967B,BLUE KASHMIRI OCCASIONAL TABLE,23,1169.5,10,8,blue kashmiri occasional table
84967C,GREEN KASHMIRI OCCASIONAL TABLE,9,419.85,4,3,green kashmiri occasional table
84968A,S/16 VINTAGE ROSE CUTLERY,133,1652.55,48,29,s 16 vintage rose cutlery
84968A,SET OF 16 VINTAGE ROSE CUTLERY,222,2700.8999999999996,68,44,set of 16 vintage rose cutlery
84968B,S/16 VINTAGE IVORY CUTLERY,280,3471.0,76,49,s 16 vintage ivory cutlery
84968B,SET OF 16 VINTAGE IVORY CUTLERY,4,51.0,4,4,set of 16 vintage ivory cutlery
84968C,S/16 VINTAGE PISTACHIO CUTLERY,215,2482.0499999999997,30,20,s 16 vintage pistachio cutlery
84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,145,1848.75,67,50,set of 16 vintage pistachio cutlery
84968D,S/16 VINTAGE RED CUTLERY,253,2836.95,17,12,s 16 vintage red cutlery
84968D,SET OF 16 VINTAGE RED CUTLERY,90,1171.92,42,38,set of 16 vintage red cutlery
84968E,S/16 VINTAGE BLACK CUTLERY,199,2278.0499999999997,27,20,s 16 vintage black cutlery
84968E,SET OF 16 VINTAGE BLACK CUTLERY,116,1404.81,35,27,set of 16 vintage black cutlery
84968F,S/16 VINTAGE SKY BLUE CUTLERY,49,624.75,26,23,s 16 vintage sky blue cutlery
84968F,SET OF 16 VINTAGE SKY BLUE CUTLERY,108,1333.8,39,33,set of 16 vintage sky blue cutlery
84969,ASSORTED COLOUR SET 6 TEASPOONS,229,973.25,63,48,assorted colour set 6 teaspoons
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,437,1871.49,105,62,box of 6 assorted colour teaspoons
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,16657,15443.210000000001,821,463,single heart zinc t light holder
84970S,HANGING HEART ZINC T-LIGHT HOLDER,25767,20113.02,1141,616,hanging heart zinc t light holder
84971L,LARGE HEART FLOWERS HOOK   ,571,684.11,43,37,large heart flowers hook
84971S,SMALL HEART FLOWERS HOOK ,6342,5168.86,325,180,small heart flowers hook
84972L,GIANT PINK HEART MEMO HOLDER,112,442.40000000000003,44,41,giant pink heart memo holder
84974,S/2 ZINC HEART DESIGN PLANTERS,92,909.4,57,52,s 2 zinc heart design planters
84975,HEART SHAPED MIRROR,1948,3083.32,167,115,heart shaped mirror
84976,RECTANGULAR SHAPED MIRROR,652,656.9,42,40,rectangular shaped mirror
84977,WIRE FLOWER T-LIGHT HOLDER,221,276.25,41,34,wire flower t light holder
84978,HANGING HEART JAR T-LIGHT HOLDER,19216,22321.06,1087,525,hanging heart jar t light holder
84984A,GREEN PEONY CUSHION COVER,255,403.75,12,8,green peony cushion cover
84984A,GREEN PEONY DES C/COVER,10,46.5,4,4,green peony des c cover
84984B,RED PEONY CUSHION COVER ,309,480.85,10,7,red peony cushion cover
84984B,RED PEONY DES C/COVER ,13,60.45,6,6,red peony des c cover
84984C,ORIENTAL BLUE C/COVER ,9,41.85,5,5,oriental blue c cover
84984C,ORIENTAL BLUE CUSHION COVER ,218,299.7,7,6,oriental blue cushion cover
84984D,ORIENTAL RED C/COVER ,20,88.2,5,5,oriental red c cover
84984D,ORIENTAL RED CUSHION COVER ,132,239.8,10,9,oriental red cushion cover
84985A,SET OF 72 GREEN PAPER DOILIES,589,854.05,119,95,set of 72 green paper doilies
84985B,SET OF 72 BLACK PAPER DOILIES ,122,176.89999999999998,19,12,set of 72 black paper doilies
84986B,SET OF 36 SILVER PAPER DOILIES,447,648.15,67,58,set of 36 silver paper doilies
84987,SET OF 36 TEATIME PAPER DOILIES,7843,11028.83,642,406,set of 36 teatime paper doilies
84988,SET OF 72 PINK HEART PAPER DOILIES,7680,10852.65,618,379,set of 72 pink heart paper doilies
84989A,75 GREEN FAIRY CAKE CASES,2069,1028.75,121,95,75 green fairy cake cases
84989B,75 BLACK FAIRY CAKE CASES,986,479.9,46,34,75 black fairy cake cases
84990,60 GOLD AND SILVER FAIRY CAKE CASES,4229,2021.6299999999999,161,112,60 gold and silver fairy cake cases
84991,60 TEATIME FAIRY CAKE CASES,53495,26121.57,1765,822,60 teatime fairy cake cases
84992,72 SWEETHEART FAIRY CAKE CASES,34541,16475.22,1176,614,72 sweetheart fairy cake cases
84993A,75 GREEN PETIT FOUR CASES,1368,574.56,126,88,75 green petit four cases
84993B,75 BLACK PETIT FOUR CASES,535,224.7,77,57,75 black petit four cases
84997A,CHILDRENS CUTLERY POLKADOT GREEN ,1688,6599.06,166,114,childrens cutlery polkadot green
84997A,GREEN 3 PIECE MINI DOTS CUTLERY SET,1887,6766.29,226,154,green 3 piece mini dots cutlery set
84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,1597,5765.55,152,107,green 3 piece polkadot cutlery set
84997B,CHILDRENS CUTLERY RETROSPOT RED ,2492,9603.68,229,157,childrens cutlery retrospot red
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,4055,14624.91,460,268,red 3 piece mini dots cutlery set
84997B,RED 3 PIECE RETROSPOT CUTLERY SET,2487,9043.29,243,169,red 3 piece retrospot cutlery set
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,3825,13823.91,445,271,blue 3 piece mini dots cutlery set
84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,2249,8118.110000000001,227,160,blue 3 piece polkadot cutlery set
84997C,CHILDRENS CUTLERY POLKADOT BLUE,2524,9831.4,211,150,childrens cutlery polkadot blue
84997D,CHILDRENS CUTLERY POLKADOT PINK,3530,13796.6,323,208,childrens cutlery polkadot pink
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,4203,15085.89,416,238,pink 3 piece mini dots cutlery set
84997D,PINK 3 PIECE POLKADOT CUTLERY SET,2652,9579.880000000001,253,172,pink 3 piece polkadot cutlery set
85006,SET 4 NURSERY DES ROUND BOXES,3047,1280.45,35,32,set 4 nursery des round boxes
85007,SET OF 3 VINTAGE TEA TIME BOXES,139,376.35,19,16,set of 3 vintage tea time boxes
85008,SET OF 3 CONEY ISLAND OVAL BOXES,263,981.6,89,77,set of 3 coney island oval boxes
85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,2947,12107.050000000001,283,184,black blue dots ruffled umbrella
85014A,BLACK/BLUE POLKADOT UMBRELLA,1659,9305.640000000001,357,238,black blue polkadot umbrella
85014B,RED RETROSPOT UMBRELLA,2649,14653.320000000002,421,273,red retrospot umbrella
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,3406,14802.1,373,247,red white dots ruffled umbrella
85014C,BLUE/BROWN DOTS RUFFLED UMBRELLA,539,2167.85,65,55,blue brown dots ruffled umbrella
85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,1913,6613.55,86,73,pink brown dots ruffled umbrella
85015,SET OF 12  VINTAGE POSTCARD SET,2717,2267.47,144,133,set of 12 vintage postcard set
85016,SET OF 6 VINTAGE NOTELETS KIT,1456,1472.7,70,60,set of 6 vintage notelets kit
85017A,ENVELOPE 50 ROMANTIC IMAGES,925,600.49,53,45,envelope 50 romantic images
85017B,ENVELOPE 50 BLOSSOM IMAGES,1859,1080.99,118,98,envelope 50 blossom images
85017C,ENVELOPE 50 CURIOUS IMAGES,941,598.61,56,44,envelope 50 curious images
85018A,S/6 PAPER BOXES ROMANTIC IMAGES,15,63.75,10,10,s 6 paper boxes romantic images
85018B,S/6 PAPER BOXES BLOSSOM IMAGES ,15,63.75,10,10,s 6 paper boxes blossom images
85018C,S/6 PAPER BOXES CURIOUS IMAGES ,36,127.2,4,4,s 6 paper boxes curious images
85018D,YULETIDE IMAGES S/6 PAPER BOXES,774,932.1,63,57,yuletide images s 6 paper boxes
85019A,ROMANTIC IMAGES NOTEBOOK SET,643,893.75,41,37,romantic images notebook set
85019B,BLOSSOM  IMAGES NOTEBOOK SET,704,940.0,36,31,blossom images notebook set
85019C,CURIOUS  IMAGES NOTEBOOK SET,424,647.0,23,18,curious images notebook set
85020,ROUND PINK HEART MIRROR,234,491.4,44,36,round pink heart mirror
85023A,CRYSTAL LARGE JEWELLED PHOTO FRAME,22,56.099999999999994,10,9,crystal large jewelled photo frame
85023B,EAU DE NILE JEWELLED PHOTOFRAME,292,679.8000000000001,37,32,eau de nile jewelled photoframe
85023C,PINK LARGE JEWELED PHOTOFRAME,23,58.64999999999999,11,10,pink large jeweled photoframe
85024A,CRYSTAL SMALL JEWELLED PHOTOFRAME,1,1.65,1,1,crystal small jewelled photoframe
85024B,EAU DE NILE JEWELLED PHOTOFRAME,218,330.90000000000003,20,19,eau de nile jewelled photoframe
85024C,PINK SMALL JEWELLED PHOTOFRAME,100,165.0,42,33,pink small jewelled photoframe
85025B,EAU DE NILE HEART SHAPE PHOTO FRAME,529,844.05,65,55,eau de nile heart shape photo frame
85025C,PINK HEART SHAPE PHOTO FRAME,649,1040.65,92,73,pink heart shape photo frame
85026B,EAU DE NILE JEWELLED T-LIGHT HOLDER,174,147.9,20,20,eau de nile jewelled t light holder
85027L,FRENCH CHATEAU LARGE PLATTER ,191,546.45,40,36,french chateau large platter
85028L,FRENCH CHATEAU LARGE FRUIT BOWL ,269,621.75,25,22,french chateau large fruit bowl
85028S,FRENCH CHATEAU SMALL FRUITBOWL,429,646.65,32,29,french chateau small fruitbowl
85030,FRENCH CHATEAU OVAL PLATTER,213,547.35,29,26,french chateau oval platter
85031A,ROMANTIC IMAGES SCRAP BOOK SET,386,634.2,38,36,romantic images scrap book set
85031B,BLOSSOM IMAGES SCRAP BOOK SET,409,603.75,26,25,blossom images scrap book set
85031C,CURIOUS IMAGES SCRAP BOOK SET,343,543.45,28,23,curious images scrap book set
85032A,ROMANTIC IMAGES GIFT WRAP SET,1390,1213.8,118,103,romantic images gift wrap set
85032B,BLOSSOM IMAGES GIFT WRAP SET,941,853.8,106,95,blossom images gift wrap set
85032C,CURIOUS IMAGES GIFT WRAP SET,801,786.0,100,85,curious images gift wrap set
85032D,YULETIDE IMAGES GIFT WRAP SET,1043,1136.56,90,89,yuletide images gift wrap set
85033G,SET/6 GOLD REINDEER T-LIGHT CANDLES,201,225.55,17,16,set 6 gold reindeer t light candles
85033S,SET/6 SILVER REINDEER T-LIGHTS,244,254.79999999999998,39,34,set 6 silver reindeer t lights
85034A,3 GARDENIA MORRIS BOXED CANDLES,831,2187.11,110,92,3 gardenia morris boxed candles
85034B,3 WHITE CHOC MORRIS BOXED CANDLES,1117,2271.73,111,95,3 white choc morris boxed candles
85034C,3 ROSE MORRIS BOXED CANDLES,1246,2249.98,158,130,3 rose morris boxed candles
85035A,GARDENIA 3 WICK MORRIS BOXED CANDLE,626,2167.42,154,113,gardenia 3 wick morris boxed candle
85035B,CHOCOLATE 3 WICK MORRIS BOX CANDLE,928,2293.12,98,75,chocolate 3 wick morris box candle
85035C,ROSE 3 WICK MORRIS BOX CANDLE,1324,2519.32,168,129,rose 3 wick morris box candle
85036A,GARDENIA 1 WICK MORRIS BOXED CANDLE,624,2367.92,155,117,gardenia 1 wick morris boxed candle
85036B,CHOCOLATE 1 WICK MORRIS BOX CANDLE,602,1551.56,79,70,chocolate 1 wick morris box candle
85036C,ROSE 1 WICK MORRIS BOXED CANDLE,882,1630.68,120,99,rose 1 wick morris boxed candle
85038,6 CHOCOLATE LOVE HEART T-LIGHTS,2621,5156.14,282,191,6 chocolate love heart t lights
85039A,SET/4 RED MINI ROSE CANDLE IN BOWL,1119,1098.6499999999999,90,61,set 4 red mini rose candle in bowl
85039B,S/4 IVORY MINI ROSE CANDLE IN BOWL,1260,1496.68,110,84,s 4 ivory mini rose candle in bowl
85039C,S/4 BLACK MINI ROSE CANDLE IN BOWL,418,276.21999999999997,39,27,s 4 black mini rose candle in bowl
85040A,S/4 PINK FLOWER CANDLES IN BOWL,1928,3169.04,314,193,s 4 pink flower candles in bowl
85040B,SET/4 BLUE FLOWER CANDLES IN BOWL,2442,3748.5,232,132,set 4 blue flower candles in bowl
85041,SET/4 PINK ORCHID CANDLES IN BOWL,1823,2406.0299999999997,79,64,set 4 pink orchid candles in bowl
85042,ANTIQUE LILY FAIRY LIGHTS,2669,12085.95,281,142,antique lily fairy lights
85043,RED HEART CANDY POP LIGHTS,1,4.95,1,1,red heart candy pop lights
85044,RED REINDEER STRING OF 20 LIGHTS,131,605.75,26,26,red reindeer string of 20 lights
85045,GREEN CHRISTMAS TREE STRING 20LIGHT,462,2127.3,70,60,green christmas tree string 20light
85047,WHITE BEADED GARLAND STRING 20LIGHT,996,6055.8,201,137,white beaded garland string 20light
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2586,19091.7,432,309,15cm christmas glass ball 20 lights
85049A,TRADITIONAL CHRISTMAS RIBBONS,5975,7388.08,562,387,traditional christmas ribbons
85049B,LUSH GREENS RIBBONS,2102,2597.86,317,224,lush greens ribbons
85049C,ROMANTIC PINKS RIBBONS ,2982,3699.07,459,303,romantic pinks ribbons
85049D,BRIGHT BLUES RIBBONS ,2331,2886.39,372,263,bright blues ribbons
85049E,SCANDINAVIAN REDS RIBBONS,6112,7651.23,681,434,scandinavian reds ribbons
85049F,BABY BOOM RIBBONS ,2104,2602.64,295,206,baby boom ribbons
85049G,CHOCOLATE BOX RIBBONS ,3830,4656.75,459,288,chocolate box ribbons
85049H,URBAN BLACK RIBBONS ,1636,1664.55,210,154,urban black ribbons
85050,FRENCH ENAMEL SOAP DISH WITH LID,48,100.8,1,1,french enamel soap dish with lid
85053,FRENCH ENAMEL CANDLEHOLDER,1854,3686.19,277,185,french enamel candleholder
85054,FRENCH ENAMEL POT W LID,849,2101.61,159,107,french enamel pot w lid
85055,FRENCH ENAMEL UTENSIL HOLDER,327,1171.85,79,62,french enamel utensil holder
85059,FRENCH ENAMEL WATER BASIN,537,1659.06,142,108,french enamel water basin
85060,WOOD FAN WITH FLOWER DESIGN,1391,1638.43,74,53,wood fan with flower design
85061W,WHITE JEWELLED HEART DECORATION,5990,4826.719999999999,330,201,white jewelled heart decoration
85062,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,3804,6049.47,278,172,pearl crystal pumpkin t light hldr
85063,CREAM SWEETHEART MAGAZINE RACK,277,4489.15,150,104,cream sweetheart magazine rack
85064,CREAM SWEETHEART LETTER RACK,1727,7676.47,239,172,cream sweetheart letter rack
85065,CREAM SWEETHEART TRAYS,586,6785.5,232,162,cream sweetheart trays
85066,CREAM SWEETHEART MINI CHEST,2997,35889.479999999996,809,471,cream sweetheart mini chest
85067,CREAM SWEETHEART WALL CABINET,480,7562.86,154,110,cream sweetheart wall cabinet
85068,CREAM SWEETHEART SHELF + HOOKS,923,6105.51,173,130,cream sweetheart shelf hooks
85069,CREAM SWEETHEART DOUBLE SHELF,3,50.85,1,1,cream sweetheart double shelf
85070,ANT WHITE SWEETHEART TABLE W 3 DRAW,3,320.0,3,3,ant white sweetheart table w 3 draw
85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,1846,1357.06,124,106,blue charlie lola personal doorsign
85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,2399,1270.29,139,123,red charlie lola personal doorsign
85071C,"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",1203,685.12,98,85,charlie lola extremely busy sign
85071D,CHARLIE+LOLA MY ROOM DOOR SIGN,844,497.64,87,78,charlie lola my room door sign
85072,OCCASIONS GIFT CARD ASSORTMENT,120,66.0,1,1,occasions gift card assortment
85078,SCANDINAVIAN 3 HEARTS NAPKIN RING,2068,585.8,84,63,scandinavian 3 hearts napkin ring
85079,EMBROIDERED REINDEER DECORATION,19,28.85,6,6,embroidered reindeer decoration
85080,PADDED RED HEART DECORATION,114,56.18,22,19,padded red heart decoration
85081,PADDED HOLLY CHRISTMAS DECORATION ,103,45.75,20,20,padded holly christmas decoration
85083,KISS REINDEER SCANDINAVIAN STOCKING,5,12.749999999999998,2,2,kiss reindeer scandinavian stocking
85084,HOLLY TOP CHRISTMAS STOCKING,607,556.27,62,53,holly top christmas stocking
85086A,CANDY SPOT HEART DECORATION,396,336.59999999999997,49,44,candy spot heart decoration
85087,CANDY SPOT CUSHION COVER,113,325.11000000000007,21,21,candy spot cushion cover
85088,CANDY SPOT HAND BAG,273,563.77,44,38,candy spot hand bag
85089,CANDY SPOT BUNNY,92,264.20000000000005,18,15,candy spot bunny
85090,CANDY SPOT APRON,82,381.3,35,26,candy spot apron
85091,CANDY SPOT BREAD BASKETS,337,487.35,14,14,candy spot bread baskets
85092,CANDY SPOT TEA COSY,374,534.7,14,14,candy spot tea cosy
85093,CANDY SPOT EGG WARMER HARE,1045,693.99,59,57,candy spot egg warmer hare
85094,CANDY SPOT EGG WARMER RABBIT,611,212.87,42,40,candy spot egg warmer rabbit
85095,THREE CANVAS LUGGAGE TAGS,91,145.81,11,9,three canvas luggage tags
85096,HILDA CANDY SPOT RABBIT,143,536.25,50,42,hilda candy spot rabbit
85097B,BLUE ROCKING SINGING CANARY,102,382.5,36,25,blue rocking singing canary
85098B,BLUE FLYING SINGING CANARY,328,1172.4,84,61,blue flying singing canary
85099B,JUMBO BAG RED RETROSPOT,75759,136980.08,2612,860,jumbo bag red retrospot
85099B,JUMBO BAG RED WHITE SPOTTY ,13890,24345.3,465,321,jumbo bag red white spotty
85099B,RED RETROSPOT JUMBO BAG ,5334,9291.3,183,157,red retrospot jumbo bag
85099C,JUMBO  BAG BAROQUE BLACK WHITE,29447,53168.340000000004,1449,506,jumbo bag baroque black white
85099F,JUMBO BAG STRAWBERRY,36098,64601.65,1514,549,jumbo bag strawberry
85103, SILVER T-LIGHT SETTING,37,240.15,15,15,silver t light setting
85103,SILVER T-LIGHT SETTING,213,1316.95,39,33,silver t light setting
85104,SILVER GLASS T-LIGHT SET,335,912.5300000000001,51,40,silver glass t light set
85106,CUT GLASS HEXAGON T-LIGHT HOLDER,1030,1869.4,44,40,cut glass hexagon t light holder
85107,CUT GLASS T-LIGHT HOLDER OCTAGON,1197,2189.61,64,56,cut glass t light holder octagon
85109,PINK BOUDOIR T-LIGHT HOLDER,4203,462.15000000000003,18,17,pink boudoir t light holder
85110,BLACK SILVER FLOWER T-LIGHT HOLDER,11512,1124.68,19,17,black silver flower t light holder
85111,SILVER GLITTER FLOWER VOTIVE HOLDER,2896,898.4,63,50,silver glitter flower votive holder
85112,S/3 TEAR DROP CUT GLASS DECORATION,430,321.5,23,20,s 3 tear drop cut glass decoration
85113,POLKA DOT PISTACHIO PAIL,279,566.22,43,36,polka dot pistachio pail
85114A,BLACK ENCHANTED FOREST PLACEMAT,1305,1997.25,83,46,black enchanted forest placemat
85114B,IVORY ENCHANTED FOREST PLACEMAT,1793,2822.45,157,99,ivory enchanted forest placemat
85114C,RED ENCHANTED FOREST PLACEMAT,1001,1615.65,127,79,red enchanted forest placemat
85115B,S/4 BLACK DISCO PARTITION PANEL,3,12.75,1,1,s 4 black disco partition panel
85116,BLACK CANDELABRA T-LIGHT HOLDER,1365,1362.8600000000001,52,40,black candelabra t light holder
85117,NIGHTINGALE COATHOOK WHITE,321,500.04999999999995,40,29,nightingale coathook white
85118,HEART T-LIGHT HOLDER,2105,1127.8899999999999,62,55,heart t light holder
85119,WATERING CAN SINGLE HOOK PISTACHIO,412,564.12,38,36,watering can single hook pistachio
85121B,RETRO LAUNDRY TUB PINK,60,510.0,27,27,retro laundry tub pink
85121C,RETRO LAUNDRY TUB PISTACHIO,85,722.5,42,39,retro laundry tub pistachio
85123A,CREAM HANGING HEART T-LIGHT HOLDER,57,155.35,7,7,cream hanging heart t light holder
85123A,WHITE HANGING HEART T-LIGHT HOLDER,93640,252072.46,4888,1490,white hanging heart t light holder
85124A,PINK JUICY FRUIT PHOTO FRAME,339,843.75,70,43,pink juicy fruit photo frame
85124B,BLUE JUICY FRUIT PHOTO FRAME,344,861.0,84,45,blue juicy fruit photo frame
85124C,GREEN JUICY FRUIT PHOTO FRAME,419,1036.05,97,51,green juicy fruit photo frame
85125,SMALL ROUND CUT GLASS CANDLESTICK,271,1242.75,43,32,small round cut glass candlestick
85126,LARGE ROUND CUTGLASS CANDLESTICK,149,967.35,32,22,large round cutglass candlestick
85127,SMALL SQUARE CUT GLASS CANDLESTICK,152,752.4,37,30,small square cut glass candlestick
85128,PLANTPOT SINGLE HOOK PISTACHIO,165,182.09,2,2,plantpot single hook pistachio
85129A,"WHITE PEARL BEADED HEART, SMALL",429,536.25,62,51,white pearl beaded heart small
