stockcode,description,total_quantity,total_revenue,total_orders,unique_customers
22864,MUG AND COASTER SET RED CIRCLES,378,158.76,2,1
84926C,FAIRY CAKES TILE COASTER,127,158.75,19,17
22972,CHILDRENS SPACEBOY MUG,96,158.4,5,5
90019A,SILVER M.O.P ORBIT BRACELET,32,158.4,17,16
21193,WHITE HONEYCOMB PAPER FAN ,84,158.36,14,14
16012,FOOD/DRINK SPUNGE STICKERS,759,158.19,20,18
22853,ENAMEL CAT BOWL CREAM,52,157.8,3,3
16156L,WRAP CAROUSEL,375,157.5,14,13
23545,WRAP RED DOILEY,375,157.5,15,15
22289,HANGING METAL CHICKEN DECORATION,126,157.5,19,19
90155,RESIN NECKLACE W PASTEL BEADS,21,157.5,12,12
21031,SPACE CADET BLACK,128,157.41,25,23
10123G,ARMY CAMO WRAPPING TAPE,2246,157.18,12,12
16054,POPART RECT PENCIL SHARPENER ASST,1205,156.9,37,32
23143,ZINC WIRE KITCHEN ORGANISER,25,156.8,12,12
23468,TUSCAN VILLA BIRD TABLE ,19,156.75,11,11
17178,FLAT PALM T-LIGHT HOLDER,133,156.65,24,20
21226,POCKET MIRROR WOODLAND,125,156.25,20,17
82585,SWEET VALENCIA CANDLE+CUP,132,155.88,21,18
90098,NECKLACE+BRACELET PINK BUTTERFLY,61,155.54999999999998,23,22
85123A,CREAM HANGING HEART T-LIGHT HOLDER,57,155.35,7,7
23416,CHAMBRE HOOK,123,155.07,18,18
90123B,TURQUOISE HEART OF GLASS BRACELET,26,154.7,11,8
22587,"FELTCRAFT HAIRBAND, S/2, RED/BLUE",204,154.68,6,6
72140E,BEST DAD CANDLE LETTERS,217,154.20999999999998,27,26
90013A,MIDNIGHT BLUE VINTAGE EARRINGS,41,153.75,10,8
84855,BLOKEY SILVER TOOL SET,31,153.45000000000002,11,10
84029D,LEOPARD PRINT HOT WATER BOTTLE,46,153.3,12,12
17107D,FLOWER FAIRY 5 DRAWER LINERS,60,153.0,20,18
90185A,AMBER DIAMANTE EXPANDABLE RING,36,153.0,9,8
90063A,WHITE VINT ART DECO CRYSTAL NECKLAC,18,153.0,10,10
23484,HEART TRELLISTRIPLE T-LIGHT HOLDER,56,152.24,5,5
21461,BLUE EASTER EGG HUNT START POST,78,152.1,19,17
48175,DOOR MAT CAMOUFLAGE,38,152.0,1,1
72801D,S/4 SKY BLUE DINNER CANDLES,157,151.85,25,19
22536,MAGIC DRAWING SLATE FIDO,360,151.2,8,8
23196,RETRO LEAVES MAGNETIC NOTEPAD,104,150.79999999999998,17,17
16202E,BLACK PHOTO ALBUM ,81,150.6,13,12
79161A,ST GEORGE SET OF 10 PARTY LIGHTS,51,150.45000000000002,16,16
90093,CLEAR CRYSTAL STAR PHONE CHARM,200,150.44,18,15
17011A,ORIGAMI VANILLA INCENSE+FLOWER ,254,150.0,6,6
82093,HEART SHAPE BUTTON FRAME ,100,150.0,7,7
21310,CAPIZ CHANDELIER,5,149.75,3,3
84452,METAL RABBIT LADDER EASTER ,176,149.6,26,23
23254,KIDS CUTLERY DOLLY GIRL ,36,149.4,8,8
23256,KIDS CUTLERY SPACEBOY ,36,149.4,8,8
82587,TEXRIO TOMATOES CANDLE+CUP,123,149.19,32,26
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,355,149.1,23,17
90018A,SILVER M.O.P ORBIT DROP EARRINGS,35,148.75,16,15
90000A,RASPBERRY ANT COPPER FLOWER NECKLAC,25,148.75,14,14
90000D,COPPER/OLIVE GREEN FLOWER NECKLACE,25,148.75,13,13
90016A,SILVER/M.O.P PENDANT ORBIT NECKLACE,22,148.75,9,8
84510C,SET OF 4 POLKADOT COASTERS,117,148.67,38,30
40001, WHITE BAMBOO RIBS LAMPSHADE,210,148.26,7,7
85026B,EAU DE NILE JEWELLED T-LIGHT HOLDER,174,147.9,20,20
90129C,GREEN GLASS TASSLE BAG CHARM,50,147.5,17,16
84720,DOT MATRIX CANVAS ART PICTURE,35,147.05,3,3
90002A,FLOWER BURST SILVER RING OPAL,39,146.25,14,14
85095,THREE CANVAS LUGGAGE TAGS,91,145.81,11,9
20796,SMALL BLUE PROVENCAL CERAMIC BALL,88,145.2,13,11
35980C,REDWHITE STRIPE SCANDINAVIAN HEART ,382,145.16,28,28
20672,PINK TEATIME PRINT BOWL,116,145.0,22,21
84247E,PACK OF 12 CHRISTMAS FUN CARDS,49,144.55,13,13
84313A,PINK TV TRAY TABLE ,34,144.5,16,10
47518F,ICON PLACEMAT POP ART ELVIS,900,144.3,31,22
35610B,BLACK CHRISTMAS FLOCK DROPLET ,179,144.07,13,13
90048,GREEN WITH METAL BAG CHARM,29,143.55,6,4
47591A,CAROUSEL DES CHILD'S APRON,87,143.54999999999998,33,30
23292,SPACE BOY CHILDRENS CUP,130,143.3,5,5
21353,SILVER SLEIGHBELL  WREATH,18,143.1,8,8
84564,6 SEGMENT COLOURED SNACK BOWL ,18,143.1,9,9
90036E,"FLOWER GLASS GARLD NECKL36""AMETHYST",18,143.1,11,10
90123C,GREEN HEART OF GLASS BRACELET,24,142.8,9,7
84877A,PINK ROUND COMPACT MIRROR,46,142.5,14,14
22510,DOORSTOP RUSSIAN DOLL GINGHAM,38,142.5,22,20
82553,POP'S GREASY SPOON METAL SIGN,86,141.9,20,14
23694,PAISLEY PARK CARD,348,141.84,24,23
37422,WHITE WITH BLACK CATS BOWL,344,141.68,27,14
21003,ROSE DU SUD CUSHION COVER,22,139.7,11,10
23091,METAL HERB GERDEN CONTAINER,24,139.68,5,5
10120,DOGGY RUBBER,664,139.44,62,52
90124C,GREEN MURANO TWIST NECKLACE,14,139.29999999999998,8,7
90180B,PURPLE AMETHYST NECKLACE W TASSEL,14,139.29999999999998,10,10
90086,CRYSTAL FROG PHONE CHARM,190,139.18,19,12
20968,GREEN FLORAL FELTCRAFT SHOULDER BAG,37,138.75,14,14
22195,HEART MEASURING SPOONS LARGE,84,138.6,5,4
23304,SET 4 PICNIC CUTLERY CHERRY ,71,138.45,9,9
23417,BATHROOM HOOK,140,137.76,21,21
72754B,F FAIRY POTPOURRI CUSHIONS LAVENDER,170,137.54,8,8
90123D,WHITE HEART OF GLASS BRACELET,23,136.85000000000002,8,7
84709A,SILVER OVAL JEWELLED MIRROR,23,136.85,11,11
22869,NUMBER TILE COTTAGE GARDEN 1,70,136.5,20,19
22870,NUMBER TILE COTTAGE GARDEN 2,70,136.5,17,15
35824P,"HANGING FLOWERS+MIRROR,PINK",324,136.44,3,2
90214A,"LETTER ""A"" BLING KEY RING",127,135.71,45,27
20952,PORCELAIN CHERUB BELL SMALL,322,135.24,20,19
84527,FLAMES SUNGLASSES PINK LENSES,73,135.15,19,19
90036B,"FLOWER GLASS GARLAND NECKL.36""GREEN",17,135.15,9,8
90081C,LILY BROOCH OLIVE COLOUR,27,133.65,13,13
84231,EASTER BUNNY WITH BASKET ON BACK,204,132.6,34,28
79192A,RETRO PLASTIC 70'S TRAY,106,132.5,30,26
84510C,SET OF 4 POLKADOTS COASTERS,109,132.45,29,22
71496A,A4 WALL TIDY BLUE OFFICE,240,132.24,8,8
45013,FOLDING SHOE TIDY,48,132.0,8,8
23066,SMALL JEWELLERY STAND,16,132.0,6,6
23081,GREEN METAL BOX TOP SECRET,16,132.0,4,4
23465,TUSCAN VILLA BIRD FEEDER,16,132.0,8,8
22344,PARTY PIZZA DISH PINK RETROSPOT,155,131.75,19,18
37467,PIG MUG IN TWO COLOUR DESIGNS,212,131.44,28,28
77079,DOLPHIN WINDMILL,62,131.44,11,10
82011A,"BATHROOM SCALES, TROPICAL BEACH",35,131.25,23,19
90003D,CRYSTAL PAIR HEART HAIR SLIDES,35,131.25,15,15
90013C,GREEN VINTAGE EARRINGS ,35,131.25,10,10
48179,DOOR MAT SWEET HOME,28,131.25,6,6
84555A,YELLOW VW BEETLE CERAMIC MONEY BOX,46,130.9,15,13
84874B,BLUE TRAVEL FIRST AID KIT,79,130.35,28,26
84925E,FLOWERS WALL THERMOMETER,75,130.05,3,3
20899,VINTAGE NOTEBOOK RED ROSE,44,129.8,12,12
85185B,PINK HORSE SOCK PUPPET KIT,44,129.8,14,13
17011D,ORIGAMI ROSE INCENSE+FLOWER,207,129.3,2,2
22241,"GARLAND , WOODEN  "" HAPPY EASTER""",103,128.75,9,9
20821,GOLDIE LOOKING MIRROR,26,128.70000000000002,10,10
37330,BIG POLKADOT MUG,78,128.33999999999997,5,5
90065A,WHITE VINTAGE CRYSTAL BRACELET,19,128.25,7,7
16119,FUNKY GIRL ADDRESS BOOK,271,128.21,7,7
84255B,ORANGE COCKTAIL GLASS LAMP,61,128.10000000000002,14,11
90175B,PINK GLASS CHUNKY CHARM BRACELET,15,127.8,7,6
72812,LARGE ZINC GLASS CANDLEHOLDER,55,127.68,10,9
22848,"BREAD BIN, DINER STYLE, PINK",8,127.6,3,3
47593B,SCOTTIES DESIGN BABY BIB,102,127.5,17,15
90013D,PURPLE VINTAGE EARRINGS,34,127.5,8,7
90063B,BLACK VINT ART DEC CRYSTAL NECKLACE,15,127.5,9,8
84782B,BLACK 3 TIER GLASS PLATE STAND,10,127.5,6,6
85018C,S/6 PAPER BOXES CURIOUS IMAGES ,36,127.2,4,4
85179C,PINK BITTY LIGHT CHAIN,77,126.85,10,10
46137D,GREEN CHENILLE SHAGGY RUG,43,126.85,3,2
23303,SET 4 PICNIC CUTLERY FONDANT,65,126.75,6,6
23020,GLASS SONGBIRD STORAGE JAR,11,126.7,3,3
82607E,GLASS BONBON JAR. D'AMANDES,101,126.25,25,18
22882,NUMBER TILE VINTAGE FONT 3,91,125.89,25,18
23065,LARGE JEWELLERY STAND,10,125.0,4,4
84622,PINK GINGHAM ROSE CUSHION COVER,21,124.95,7,7
84559D,3D SHEET OF SEA WORLD STICKERS,147,124.94999999999999,29,23
35816P,"ACRYLIC JEWEL ANGEL,PINK",292,124.88,7,7
10080,GROOVY CACTUS INFLATABLE,303,124.60999999999999,26,23
84661C,PINK SQUARE TABLE CLOCK,137,124.55000000000001,12,12
90125D,PURPLE BERTIE GLASS BEAD BAG CHARM,102,124.2,11,9
84927A,WAKE UP COCKEREL TILE HOOK,218,124.17,25,22
90162C,ANT SILVER FUSCHIA BOUDICCA RING,42,123.90000000000002,16,10
22359,"GLASS JAR, KINGS CHOICE SOAP",42,123.9,8,8
35015,JACOBS LADDER SMALL,2064,123.84,38,35
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,33,123.75,12,9
90173,PAIR BUTTERFLY HAIR CLIPS,33,123.75,7,7
20816,GOLD FLOWER CUSHION COVER ,24,123.6,7,5
22850,BREAD BIN DINER STYLE BLACK,8,123.6,1,1
84228,HEN HOUSE W CHICK STANDING,308,123.36,20,16
21087,SET/6 POSIES PAPER CUPS,220,123.22,20,19
23454,SET OF 3 MINI HANGING PORTRAITS,32,123.2,2,2
22869,"NUMBER TILE COTTAGE GARDEN, 1",63,122.85,7,7
23457,LARGE PARLOUR FRAME,27,122.85,2,2
22832,SWEETHEART WIRE WALL TIDY,12,122.6,3,3
84367,LA STREGA CANVAS PICTURE ,73,122.55000000000001,7,6
79308B,MOSAIC CANDLE DISH BLUE PURPLE,144,122.4,2,1
16168S,FUNKY MONKEY GIFT BAG SMALL,1274,121.86,7,4
79532,MOSAIC GLASS BALL CANDLEHOLDER,97,121.25,18,15
22534,MAGIC SLATE SPACEBOY ,288,120.96000000000001,6,6
22535,MAGIC SLATE BUNNIES AT HOME ,288,120.96000000000001,6,6
22536,MAGIC SLATE FIDO,288,120.96000000000001,6,6
23438,GIFT BAG LARGE SPOT ,96,120.0,6,6
85166A,WHITE METAL BAROQUE PHOTO FRAME,72,120.0,8,8
84509F,NEW ENGLAND PLACEMATS,32,120.0,10,6
90214S,"LETTER ""S"" BLING KEY RING",115,119.75,35,26
35911B,PINK/FLOWER RABBIT EGG WARMER ,57,119.7,13,12
23463,VINTAGE ZINC WATERING CAN,12,119.39999999999999,7,7
84656,WHITE ROSE C/COVER,20,119.0,12,12
23359,SET OF 12 T-LIGHTS VINTAGE DOILEY,61,118.94999999999999,6,6
23280,FOLDING MIRROR HOT PINK ,156,118.92000000000002,5,5
90214C,"LETTER ""C"" BLING KEY RING",115,118.78999999999999,35,21
21228,"POCKET MIRROR ""GLAMOROUS""",95,118.75,29,25
84872A,TEATIME FUNKY FLOWER BACKPACK FOR 2,7,118.65,6,6
84873A,FUNKY FLOWER PICNIC BAG FOR 4,7,118.65,5,5
35933,PINK STOCKING CHRISTMAS DECORATION,312,118.56,23,20
44242B,PINK FEATHERS CURTAIN,106,117.78,8,8
84751B,BLACK MEDIUM GLASS CAKE STAND,40,117.44,19,18
35824C,"HANGING FLOWERS+MIRROR,CLEAR",235,117.05,8,8
22877,NUMBER TILE COTTAGE GARDEN 9,60,117.0,16,15
23244,STORAGE TIN VINTAGE LEAF,60,117.0,7,7
47593A,CAROUSEL PONIES BABY BIB,115,116.87,28,24
84858A,NATURAL RIVIERA HANDBAG,52,116.7,7,7
23185,FRENCH STYLE STORAGE JAR JAM,323,116.58999999999999,30,27
72038P,PRICE'S CANDLE PEACH,1050,116.5,9,9
16206B,RED PURSE WITH PINK HEART,96,116.4,16,14
84921,CREAM AND PINK FLOWERS PONY ,31,116.25,14,13
90144,SILVER DROP EARRINGS WITH FLOWER,31,116.25,11,11
90030C,BROWN KUKUI COCONUT SEED NECKLACE,81,115.65,10,10
23209,LUNCH BAG VINTAGE DOILEY ,70,115.5,4,4
22878,NUMBER TILE COTTAGE GARDEN No,55,115.5,13,12
20848,ZINC HEART LATTICE CHARGER SMALL,39,115.05000000000001,12,10
20896,VINTAGE NOTEBOOK PINK FLOWER,39,115.05000000000001,13,13
22872,NUMBER TILE COTTAGE GARDEN 4,59,115.05,16,16
85190,PINK FLOWER HANGING HEART ,135,114.75,14,14
90214K,"LETTER ""K"" BLING KEY RING",111,114.75,45,23
22885,NUMBER TILE VINTAGE FONT 6 ,85,114.19,16,13
23535,WALL ART BICYCLE SAFTEY ,21,114.15,3,3
17090D,VANILLA INCENSE 40 CONES IN TIN,95,113.95,28,21
46776D,WOVEN SUNSET CUSHION COVER ,23,113.85,9,7
22874,NUMBER TILE COTTAGE GARDEN 6,58,113.1,15,14
22877,"NUMBER TILE COTTAGE GARDEN, 9",58,113.1,4,4
84288B,SET/2 BLUE  NOODLE BASKETS,58,113.1,21,19
82607C,GLASS BONBON JAR. SUPERFINES,90,112.5,21,16
84462,3 PINK HEN+CHICKS IN BASKET,99,112.35,13,13
44236,PINK/PURPLE CIRCLE CURTAIN,64,112.32000000000001,12,9
21412,VINTAGE GOLD TINSEL REEL,235,112.14,42,33
90129D,AMBER GLASS TASSLE BAG CHARM,38,112.10000000000001,12,12
71510,SQUARE METAL CANDLEHOLDER BASE,177,112.05,17,11
17014A,ORIGAMI VANILLA INCENSE CONES,247,111.81,9,9
72133,COLUMBIAN CANDLE RECTANGLE,106,111.62,27,24
71495B,CD WALL TIDY RED FLOWERS,300,111.60000000000001,12,8
22873,"NUMBER TILE COTTAGE GARDEN, 5",57,111.14999999999999,3,3
84493,BLUE/PINK NEST STRIPE BOX,1142,111.12,5,5
90170,DAISY HAIR BAND,67,110.55000000000001,10,10
20693,FLORAL DINOSAUR GREEN,26,110.5,12,10
21004,ROSE DU SUD CHILDRENS APRON,26,110.5,15,14
90024D,NEW BAROQUE B'FLY NECKLACE PINK,13,110.5,11,11
23496,PANTRY KITCHEN THERMOMETER ,88,110.0,22,21
78026,SEAGRASS S/3 SQU LAUNDRY BOX,11,110.0,1,1
84886,BLUE METAL WALL SHELF,11,109.44999999999999,8,8
22868,NUMBER TILE COTTAGE GARDEN 0 ,56,109.2,12,12
23578,SNACK TRAY RED GINGHAM,56,109.2,11,11
22868,"NUMBER TILE COTTAGE GARDEN, 0 ",56,109.19999999999999,2,2
22870,"NUMBER TILE COTTAGE GARDEN, 2",56,109.19999999999999,2,2
22871,"NUMBER TILE COTTAGE GARDEN, 3 ",56,109.19999999999999,2,2
22872,"NUMBER TILE COTTAGE GARDEN, 4",56,109.19999999999999,2,2
22874,"NUMBER TILE COTTAGE GARDEN, 6",56,109.19999999999999,2,2
22875,"NUMBER TILE COTTAGE GARDEN, 7",56,109.19999999999999,2,2
22876,"NUMBER TILE COTTAGE GARDEN, 8",56,109.19999999999999,2,2
72134,COLUMBIAN  CUBE CANDLE ,320,109.16,20,15
90129E,PURPLE GLASS TASSLE BAG CHARM,37,109.15,10,10
90073,VINTAGE ENAMEL & CRYSTAL EARRINGS,22,108.9,7,7
90158,ST TROPEZ NECKLACE,22,108.9,11,11
90206C,CRYSTAL DIAMANTE STAR BROOCH,22,108.9,11,9
90199A,5 STRAND GLASS NECKLACE BLACK,17,107.94999999999999,9,9
90199B,5 STRAND GLASS NECKLACE AMETHYST,17,107.94999999999999,12,12
90214L,"LETTER ""L"" BLING KEY RING",114,107.94,29,20
23041,PAPER LANTERN 6 POINT SNOW STAR,26,107.9,6,6
79144B,PAINTED LIGHTBULB STAR+ MOON,265,107.7,40,36
84899F,YELLOW PURPLE DAISY FELT PURSE KIT,86,107.5,23,20
90060F,FIRE POLISHED GLASS NECKL GREEN,18,107.10000000000001,7,7
90211B,JET BLACK LAS VEGAS NECKLACE 45CM,18,107.1,8,8
23455,SMALL PARLOUR FRAME,42,106.98000000000002,2,2
22135,MINI LADLE LOVE HEART PINK,243,106.98,45,20
23151,ZINC SWEETHEART SOAP DISH,60,106.9,19,18
48103,DOORMAT KISS MY.......,22,106.58,2,2
22881,NUMBER TILE VINTAGE FONT 2,81,106.39,14,9
23477,WOODLAND LARGE BLUE FELT HEART,85,106.25,8,8
90194,SILVER LARIAT BLACK STONE EARRINGS,25,106.25,14,14
22445,PENCIL CASE GINGHAM FOREST,36,106.20000000000002,4,4
90186B,CRYSTAL HOOP EARRING FLORAL LEAF,36,106.20000000000002,13,13
90129F,RED GLASS TASSLE BAG CHARM,36,106.2,14,14
90108,BLUE BLOSSOM HAIR CLIP,101,106.05,13,12
84199,GLOW IN DARK DOLPHINS,515,105.63,62,58
22433,WATERING CAN PINK BUNNY,54,105.3,5,5
22875,NUMBER TILE COTTAGE GARDEN 7,54,105.3,16,16
16169D,WRAP WINTER FOREST,250,105.0,9,9
23574,PACKING CHARGE,14,105.0,14,9
84458,S/3 RABBIT FLOWER/EGG/CARROT ROPE,123,104.55,19,17
21118,SHOPPING BAG DOORSTOP,69,104.25,7,7
20698,LITTLE PINK MONSTER SOFT TOY,43,104.25,18,17
90049,IVORY GOLD METAL BAG CHARM,19,104.07,5,3
35607A,PINK FLUFFY CHRISTMAS DECORATION,547,103.93,28,27
84705B,FAIRY CAKES PHOTO FRAME,83,103.75,2,2
10138,ASSORTED COLOUR JUMBO PEN,247,103.74,16,14
90036F,"FLOWER GLASS GARLD NECKL36""TURQUOIS",13,103.35000000000001,4,4
22876,NUMBER TILE COTTAGE GARDEN 8,53,103.35,11,11
84679,CLASSICAL ROSE TABLE LAMP,14,103.3,4,4
84247H,PACK/12 DECOUPAGE CARD,35,103.25000000000001,14,12
85185F,LION SOCK PUPPET,35,103.25000000000001,17,16
90129A,PINK GLASS TASSLE BAG CHARM ,35,103.25,15,14
35096B,RED VICTORIAN FABRIC HEART BOX,288,102.63,21,20
16248B,BLUE HOLE PUNCH,82,102.5,12,12
84613A,PINK NEW BAROQUE FLOCK CANDLESTICK,22,102.3,10,9
21089,SET/6 GREEN SPRING PAPER CUPS,318,102.28,36,32
90024E,NEW BAROQUE B'FLY NECKLACE MONTANA,12,102.0,7,7
90030A,SPOTTED WHITE NATURAL SEED NECKLACE,77,101.75,8,8
84249A,"GREETING CARD,SQUARE, DOUGHNUTS",238,101.6,20,18
90040C,MURANO STYLE GLASS BRACELET GOLD,29,101.5,10,10
22871,NUMBER TILE COTTAGE GARDEN 3 ,52,101.39999999999999,10,10
35910A,MULTICOLOUR EASTER RABBIT ,52,101.39999999999999,12,12
84549,CROCHET WHITE RABBIT KEYRING ,64,100.8,9,9
85050,FRENCH ENAMEL SOAP DISH WITH LID,48,100.8,1,1
72821,CUPID SCENTED CANDLE IN GLASS,61,100.65,14,13
17084J,LOVE POTION MASALA INCENSE,479,100.59,19,17
22883,NUMBER TILE VINTAGE FONT 4,78,100.53999999999999,11,9
22884,NUMBER TILE VINTAGE FONT 5,78,100.53999999999999,18,14
75172,PAINTED SEA SHELL METAL WINDCHIME,97,100.31,11,11
90190B,GOLD/AMBER DROP EARRINGS W LEAF,34,100.30000000000001,6,6
72753C,S/3 FLWR FAIRY ROSE CANDLES,42,99.9,5,5
20697,LITTLE GREEN MONSTER SOFT TOY,41,99.14999999999999,19,17
22736,"RIBBON REEL, MAKING SNOWMEN ",60,99.0,5,5
23191,BUNDLE OF 3 RETRO EXERCISE BOOKS,60,99.0,5,5
23465,TUSCAN VILLA FEEDING STATION,12,99.0,7,7
23466,TUSCAN VILLA DOVECOTE,12,99.0,4,4
84575A,PINK DOG CANNISTER,24,98.8,13,13
20861,GOLD COSMETIC BAG PINK STAR,47,98.7,15,15
84951A,S/4 PISTACHIO LOVEBIRD COASTERS,69,97.94999999999999,5,5
16161G,WRAP BAD HAIR DAY,975,97.5,33,31
22873,NUMBER TILE COTTAGE GARDEN 5,50,97.5,15,14
20957,PORCELAIN HANGING BELL SMALL,67,97.15,12,12
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,46,96.60000000000001,6,6
22812,PACK 3 BOXES CHRISTMAS PANETTONE,39,95.67,12,9
90199D,5 STRAND GLASS NECKLACE AMBER,15,95.25,9,9
48103,DOOR MAT KISS MY.......,13,95.15,8,8
84967A,PINK KASHMIRI OCCASIONAL TABLE,2,94.95,2,2
72606A,BROWN ANTIQUE CUBE CANDLE,226,94.92,18,18
90125C,TURQUOISE BERTIE GLASS BEAD CHARM,88,94.8,6,5
90214E,"LETTER ""E"" BLING KEY RING",95,94.75,33,25
72740A,LARGE STRAWBERRY CHOCOLATE CANDLE,56,94.7,5,5
22880,NUMBER TILE VINTAGE FONT 1,75,94.69,13,10
21241,GREEN POLKADOT CUP,111,94.35,10,9
90137,PINK COMBO MINI CRYSTALS NECKLACE,19,94.05000000000001,8,8
84388,WISE MAN STAR SHAPE EGG PAN,73,93.99,22,21
47593A,CAROUSEL DESIGN BABY BIB,75,93.75,14,13
23402,HOME SWEEET HOME 3 PEG HANGER ,25,93.75,4,4
90002C,FLOWER BURST SILVER RING MIDN'T BLU,25,93.75,11,8
90003C,MIDNIGHT BLUE PAIR HEART HAIR SLIDE,25,93.75,10,10
22432,WATERING CAN GREEN DINOSAUR,48,93.6,6,6
17084A,TRANQUILITY MASALA INCENSE,442,92.82,18,14
35610A,PINK CHRISTMAS FLOCK DROPLET ,138,92.82,8,8
22886,NUMBER TILE VINTAGE FONT 7,74,92.74,13,8
35966,FOLKART CHRISTMAS TREE T-LIGHT HOLD,244,92.72,20,20
47592B,SCOTTIES DESIGN CHILD'S OVERALL,44,92.4,17,14
84867A,PINK BABY GIRLS PHOTO ALBUM,15,92.25,3,3
90214J,"LETTER ""J"" BLING KEY RING",83,92.23,30,19
21343,GOLD JEWELERY BOX,20,92.0,3,3
71406C,BLACK ORANGE SQUEEZER,219,91.98,31,21
90094,NECKLACE+BRACELET SET FRUIT SALAD ,36,91.8,21,20
20664,TROPICAL HOLIDAY PURSE ,31,91.45000000000002,16,11
90177D,DROP DIAMANTE EARRINGS PURPLE,31,91.45000000000002,10,9
23075,DOUBLE CERAMIC PARLOUR HOOK,22,91.30000000000001,5,5
20660,VIP LUGGAGE TAG ,73,91.25,26,22
90040D,MURANO STYLE GLASS BRACELET PINK,26,91.0,10,9
22878,"NUMBER TILE COTTAGE GARDEN, No",43,90.3,3,3
90003B,ROSE COLOUR PAIR HEART HAIR SLIDES,24,90.0,9,9
90150,BLUE SHELL+SILVER NECKLACE,12,90.0,7,7
90163A,PINK ROSEBUD & PEARL NECKLACE,12,90.0,5,5
90214M,"LETTER ""M"" BLING KEY RING",81,89.73,29,19
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,213,89.46000000000001,2,2
79191D,RETRO PLASTIC DAISY TRAY,105,89.25,31,28
84437A,S/6 PINK EASTER DECS IN BOX,105,89.25,17,17
90042C,FRESHWATER PEARL BRACELET IVORY,35,89.25,8,8
90023,FILIGREE DIAMANTE EARRINGS,21,89.25,11,7
84614A,PINK BAROQUE FLOCK CANDLE HOLDER,15,89.25,7,7
84765,SILVER ROCOCO CANDELABRA,7,89.25,4,4
90156,RESIN BRACELET W PASTEL BEADS,18,89.10000000000001,7,7
90133,TEAL/FUSCHIA COL BEAD NECKLACE,18,89.1,7,7
21337,SILVER WASHBAG,30,88.50000000000001,9,7
84465,15 PINK FLUFFY CHICKS IN BOX,30,88.5,20,18
84984D,ORIENTAL RED C/COVER ,20,88.2,5,5
35638A,PINK AND BLACK STRING CURTAIN,39,88.04999999999998,6,6
84721,MANHATTAN CANVAS ART PICTURE,20,87.8,2,2
35271S,GOLD PRINT PAPER BAG,433,87.78999999999999,18,17
23442,12 HANGING EGGS HAND PAINTED,42,87.36,7,7
35822B,"ACRYLIC BEAD CHAIN, BLUE",229,87.02,1,1
84424A,FOUR PICTURE WHITE GLASS FRAME,23,86.25,10,10
35913B,WHITE/PINK CHICK EASTER DECORATION,101,85.85,19,17
90162A,ANT SILVER TURQUOISE BOUDICCA RING,29,85.55000000000001,10,8
90190C,SILVER/AMETHYST DROP EARRINGS LEAF,29,85.55000000000001,10,10
90164A,PINK ROSEBUD PEARL BRACELET,21,85.35,7,7
35265,COLOURFUL FLOWER FRUIT BOWL,21,85.0,15,14
22844,"DOG FOOD CONTAINER , VINTAGE",10,85.0,3,3
84923,PINK BUTTERFLY HANDBAG W BOBBLES,10,85.0,5,5
90024B,NEW BAROQUE B'FLY NECKLACE RED,10,85.0,6,6
90026D,GLASS BEAD HOOP NECKLACE AMETHYST,10,85.0,8,6
90028,NEW BAROQUE LARGE NECKLACE BLK/WHIT,10,85.0,5,5
22887,NUMBER TILE VINTAGE FONT 8,70,84.94,13,10
17027A,INCENSE BAZAAR CANNABIS,228,84.84,2,1
46775A,BUBBLE GUM CHUNKY KNITTED THROW ,5,84.75,4,3
46775B,BERRIES CHUNKY KNITTED THROW ,5,84.75,4,3
90088,CRYSTAL KEY+LOCK PHONE CHARM,99,84.14999999999999,12,8
23456,MEDIUM PARLOUR FRAME ,22,84.1,2,2
72783,BLACK SIL'T SQU CANDLE PLATE ,40,84.0,7,7
90000B,MIDNIGHT BLUE COPPER FLOWER NECKLAC,14,83.30000000000001,9,9
72779,SET/6 BLACK ROSE T-LIGHT CANDLES,49,82.81,15,14
37342,SPOTTY COFFEE CUP & SAUCER,28,82.60000000000001,6,6
90039D,FIRE POLISHED GLASS BRACELET GREEN,22,82.5,5,4
90069,RUBY GLASS CLUSTER NECKLACE,11,82.5,5,5
35838B,S/6 SILVER ORNAMENETAL CANDLE,97,82.45,22,21
21699,SET 5 MINI CHOCOLATE FRIDGE MAGNETS,108,82.44,3,2
16051,TEATIME PENCIL W STAMP ASST,938,82.2,3,3
35609A,PINK FEATHER CHRISTMAS DECORATION,427,82.19,18,17
22566,"FELTCRAFT HAIRBAND S/2, PINK/PURPLE",96,81.6,8,8
22579,WOODEN TREE CHRISTMAS SCANDISPOT,96,81.6,3,3
16011, ANIMAL STICKERS,385,80.85,12,10
90121B,VINTAGE ROSE BEAD BRACELET BLUE,19,80.75,9,8
90164B,WHITE  ROSEBUD PEARL BRACELET,30,80.7,8,8
22530,MAGIC SLATE DOLLY GIRL ,192,80.64,4,4
22531,MAGIC SLATE CIRCUS PARADE  ,192,80.64,4,4
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,124,80.60000000000001,1,1
