segment,stockcode,description,total_quantity,total_revenue,total_orders,unique_customers
Others,21704,BAG 250g SWIRLY MARBLES,251,213.35,21,21
Others,21705,BAG 500g SWIRLY MARBLES,123,153.51,4,4
Others,21706,"FOLDING UMBRELLA , RED/WHITE SPOT",305,645.75,8,7
Others,21706,FOLDING UMBRELLA RED/WHITE POLKADOT,31,153.45,8,8
Others,21707,"FOLDING UMBRELLA , BLACK/BLUE  SPOT",340,1401.0,6,6
Others,21707,FOLDING UMBRELLA BLACKBLUE POLKADOT,25,123.75,10,10
Others,21708,FOLDING UMBRELLA  CREAM/MULTI  SPOT,1,4.95,1,1
Others,21708,FOLDING UMBRELLA CREAM POLKADOT,7,34.650000000000006,3,3
Others,21709,FOLDING UMBRELLA  CHOC/WHITE  SPOT,311,1329.45,5,5
Others,21709,FOLDING UMBRELLA CHOCOLATE POLKADOT,20,99.0,7,7
Others,21710,FOLDING UMBRELLA  PINK/WHITE  SPOT,199,409.05,4,4
Others,21710,FOLDING UMBRELLA PINKWHITE POLKADOT,6,29.700000000000003,5,5
Others,21711,FOLDING UMBRELLA  WHITE/RED  SPOT,4,19.8,1,1
Others,21711,FOLDING UMBRELLA WHITE/RED POLKADOT,10,49.5,2,2
Others,21713,CITRONELLA CANDLE FLOWERPOT,207,362.7,24,23
Others,21714,CITRONELLA CANDLE GARDEN POT,325,363.05,29,27
Others,21715,GIRLS VINTAGE TIN SEASIDE BUCKET,160,407.99999999999994,29,28
Others,21716,BOYS VINTAGE TIN SEASIDE BUCKET,174,429.29999999999995,22,22
Others,21717,EASTER TIN BUCKET,107,258.45,11,11
Others,21718,RED METAL BEACH SPADE ,123,153.75,14,13
Others,21719,LOVELY BONBON STICKER SHEET,85,72.25,6,6
Others,21720,CAKE SHOP  STICKER SHEET,120,102.0,7,7
Others,21721,CANDY SHOP  STICKER SHEET,73,62.05,5,5
Others,21722,SWEET PUDDING STICKER SHEET,26,22.099999999999998,3,3
Others,21723,ALPHABET HEARTS STICKER SHEET,38,32.3,3,3
Others,21724,PANDA AND BUNNIES STICKER SHEET,87,73.94999999999999,7,7
Others,21725,SWEETIES  STICKERS,72,61.199999999999996,5,5
Others,21726,MULTI HEARTS  STICKERS,51,43.35,7,7
Others,21728,METAL MEDINA LANTERN ,6,76.5,3,3
Others,21730,GLASS STAR FROSTED T-LIGHT HOLDER,25,123.75,13,10
Others,21731,RED TOADSTOOL LED NIGHT LIGHT,858,1415.7,60,49
Others,21732,RED HANGING METAL STAR TLIGHT HLDR,21,72.99000000000001,3,3
Others,21733,RED HANGING HEART T-LIGHT HOLDER,640,1824.0000000000002,95,82
Others,21735,TWO DOOR CURIO CABINET,35,435.45,17,15
Others,21736,GOLD SCROLL GLASS T-LIGHT HOLDER,56,86.82,6,6
Others,21737,SET 3 WICKER LOG BASKETS,15,275.25,7,7
Others,21738,COSY SLIPPER SHOES SMALL  RED ,6,17.700000000000003,3,3
Others,21739,COSY SLIPPER SHOES SMALL GREEN,9,26.550000000000004,3,3
Others,21740,COSY SLIPPER SHOES LARGE RED,7,20.650000000000002,2,2
Others,21741,COSY SLIPPER SHOES LARGE GREEN,16,47.2,6,6
Others,21742,LARGE ROUND WICKER PLATTER ,56,333.2,23,23
Others,21743,STAR PORTABLE TABLE LIGHT ,153,432.15000000000003,15,14
Others,21744,SNOWFLAKE PORTABLE TABLE LIGHT ,25,73.75000000000001,6,6
Others,21745,GAOLERS KEYS DECORATIVE GARDEN ,107,392.61,21,19
Others,21746,SMALL RED RETROSPOT WINDMILL,424,493.52,26,23
Others,21746,SMALL RED SPOT  WINDMILL,36,45.0,3,3
Others,21747,SMALL SKULL WINDMILL,166,189.26,9,8
Others,21749,LARGE RED RETROSPOT WINDMILL,141,272.1,13,13
Others,21749,LARGE RED SPOT WINDMILL,18,37.8,3,3
Others,21750,LARGE SKULL WINDMILL,56,105.60000000000001,3,3
Others,21752,GLASS CAKE STAND MIRRORED BASE,9,134.54999999999998,4,4
Others,21754,HOME BUILDING BLOCK WORD,288,1722.9,86,75
Others,21755,LOVE BUILDING BLOCK WORD,220,1318.0,79,70
Others,21756,BATH BUILDING BLOCK WORD,91,543.5500000000001,35,32
Others,21757,LIGHTHOUSE PRINTED METAL SIGN,2,9.9,1,1
Others,21758,VINTAGE SHELLS PRINT,2,12.9,2,2
Others,21759,METAL WALL SHELF UNIT WITH HOOKS,1,49.95,1,1
Others,21761,WOOD AND GLASS MEDICINE CABINET,4,119.8,3,3
Others,21763,VINTAGE WOODEN BAR STOOL,11,295.5,5,5
Others,21765,HANGING METAL BIRD BATH,18,143.1,9,9
Others,21768,WALL MOUNTED VINTAGE ORGANISER,6,89.69999999999999,4,4
Others,21769,VINTAGE POST OFFICE CABINET,5,399.75,4,4
Others,21770,OPEN CLOSED METAL SIGN,125,618.75,59,59
Others,21773,DECORATIVE ROSE BATHROOM BOTTLE,41,51.25,7,7
Others,21774,DECORATIVE CATS BATHROOM BOTTLE,91,53.989999999999995,6,6
Others,21775,DECORATIVE FLORE BATHROOM BOTTLE,43,53.75,7,7
Others,21777,RECIPE BOX WITH METAL HEART,47,373.65,20,19
Others,21779,MA CAMPAGNE MINI WOODEN CHEST,50,158.60000000000002,4,4
Others,21780,MA CAMPAGNE 4 DRAWER WALL SHELF,25,157.75,3,3
Others,21781,MA CAMPAGNE CUTLERY BOX,52,742.1999999999999,26,21
Others,21784,SHOE SHINE BOX ,31,285.25,10,9
Others,21785,RAIN PONCHO ,637,431.25,9,8
Others,21786,POLKADOT RAIN HAT ,176,73.92,11,11
Others,21786,RAIN HAT WITH RED SPOTS,160,67.2,9,9
Others,21787,RAIN PONCHO RETROSPOT,384,326.4,16,16
Others,21787,RAIN PONCHO WITH RED SPOTS,157,133.45,9,9
Others,21788,KIDS RAIN MAC BLUE,160,136.0,13,13
Others,21789,KIDS RAIN MAC PINK,184,156.39999999999998,13,13
Others,21790,VINTAGE SNAP CARDS,2122,1710.1,116,102
Others,21791,VINTAGE HEADS AND TAILS CARD GAME ,1202,1447.78,83,76
Others,21792,CLASSIC FRENCH STYLE BASKET GREEN ,35,166.25,9,9
Others,21793,CLASSIC FRENCH STYLE BASKET BROWN,39,162.45000000000002,9,9
Others,21794,CLASSIC FRENCH STYLE BASKET NATURAL,34,159.5,9,9
Others,21795,SET OF 3 BLUE STRIPE BASKET,12,153.0,5,5
Others,21796,SET OF 3 RED STRIPE BASKETS,9,114.75,4,4
Others,21801,CHRISTMAS TREE DECORATION WITH BELL,84,35.28,4,4
Others,21802,CHRISTMAS TREE HEART DECORATION,264,110.88,8,8
Others,21803,CHRISTMAS TREE STAR DECORATION,367,154.14,9,9
Others,21804,WHITE CHRISTMAS GARLAND STARS TREES,57,213.75,8,6
Others,21805,WHITE CHRISTMAS TREE DECORATION ,288,112.32,5,5
Others,21806,WHITE CHRISTMAS HEART DECORATION,216,90.72,6,6
Others,21807,WHITE CHRISTMAS STAR DECORATION,186,78.11999999999999,6,6
Others,21808,"CHRISTMAS GARLAND STARS,TREES",133,318.75,11,10
Others,21809,CHRISTMAS HANGING TREE WITH BELL,689,448.60999999999996,22,21
Others,21810,CHRISTMAS HANGING STAR WITH BELL,757,420.09,20,19
Others,21811,CHRISTMAS HANGING HEART WITH BELL,131,163.75,11,11
Others,21811,HANGING HEART WITH BELL,517,219.69,13,13
Others,21812,GARLAND WITH HEARTS AND BELLS,44,217.8,12,12
Others,21813,GARLAND WITH STARS AND BELLS,35,173.25,8,8
Others,21814,HEART T-LIGHT HOLDER ,38,55.099999999999994,4,4
Others,21815,STAR  T-LIGHT HOLDER ,72,104.39999999999999,6,6
Others,21816,CHRISTMAS TREE T-LIGHT HOLDER,36,52.199999999999996,3,3
Others,21817,GLITTER CHRISTMAS TREE,83,53.99,5,5
Others,21818,GLITTER CHRISTMAS HEART ,117,99.45,12,10
Others,21818,GLITTER HEART DECORATION,325,150.67,14,13
Others,21819,GLITTER CHRISTMAS STAR ,237,156.82999999999998,16,14
Others,21820,GLITTER HEART GARLAND WITH BELLS ,46,172.5,13,13
Others,21821,GLITTER STAR GARLAND WITH BELLS ,39,146.25,7,7
Others,21822,GLITTER CHRISTMAS TREE WITH BELLS,198,191.22,10,8
Others,21823,PAINTED METAL HEART WITH HOLLY BELL,527,378.31,24,22
Others,21824,PAINTED METAL STAR WITH HOLLY BELLS,468,283.21999999999997,23,22
Others,21825,PAINTED METAL TREE WITH HOLLY BELLS,105,152.25,7,7
Others,21826,EIGHT PIECE DINOSAUR SET,117,146.25,10,10
Others,21827,EIGHT PIECE CREEPY CRAWLIE SET,64,80.0,4,4
Others,21828,EIGHT PIECE SNAKE  SET,43,53.75,10,10
Others,21829,DINOSAUR KEYRINGS ASSORTED,864,181.44,18,17
Others,21830,ASSORTED CREEPY CRAWLIES,480,201.6,15,15
Others,21832,CHOCOLATE CALCULATOR,375,578.75,20,20
Others,21833,CAMOUFLAGE LED TORCH,288,486.72,16,14
Others,21836,GINGHAM OVEN GLOVE RED HEART ,18,67.5,5,5
Others,21837,CROSS STITCH ALPHABET CUSHION COVER,27,160.65,6,6
Others,21839,MUMMY MOUSE RED GINGHAM RIBBON,17,92.65,8,8
Others,21841,BABY MOUSE RED GINGHAM DRESS,50,212.5,17,17
Others,21842,PINK HEART CANDY BUTTON CALCULATOR,43,109.64999999999999,3,3
Others,21843,RED RETROSPOT CAKE STAND,197,2151.1499999999996,87,69
Others,21843,RETRO SPOT CAKE STAND,28,306.59999999999997,15,14
Others,21844,RED RETROSPOT MUG,170,482.30000000000007,19,18
Others,21844,RETRO SPOT MUG,54,159.3,8,7
Others,21845,DAIRY MAID STRIPE MUG,115,196.69000000000003,14,14
Others,21846,PINK DIAMANTE PEN IN GIFT BOX,43,124.05000000000001,8,8
Others,21847,GREEN  DIAMANTE PEN IN GIFT BOX,9,44.550000000000004,2,2
Others,21849,SILVER DIAMANTE PEN IN GIFT BOX,31,64.65,4,4
Others,21850,BLUE  DIAMANTE PEN IN GIFT BOX,36,153.0,1,1
Others,21851,LILAC DIAMANTE PEN IN GIFT BOX,11,54.45,4,4
Others,21864,UNION JACK FLAG PASSPORT COVER ,64,134.4,13,13
Others,21865,PINK UNION JACK  PASSPORT COVER ,54,113.4,10,10
Others,21866,UNION JACK FLAG LUGGAGE TAG,82,102.5,18,18
Others,21867,PINK UNION JACK  LUGGAGE TAG,52,65.0,10,10
Others,21868,POTTING SHED TEA MUG,700,813.84,40,36
Others,21869,POTTING SHED COFFEE MUG,271,297.71000000000004,7,7
Others,21870,I CAN ONLY PLEASE ONE PERSON MUG,174,217.5,20,17
Others,21871,SAVE THE PLANET MUG,424,543.2,33,27
Others,21872,GLAMOROUS  MUG,149,186.25,20,18
Others,21873,IF YOU CAN'T STAND THE HEAT MUG,88,110.0,9,9
Others,21874,GIN AND TONIC MUG,131,165.35,17,17
Others,21875,KINGS CHOICE MUG,370,421.46,19,19
Others,21876,POTTERING MUG,170,159.94,9,9
Others,21877,HOME SWEET HOME MUG,448,593.2,43,39
Others,21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,469,372.65,22,21
Others,21879,HEARTS GIFT TAPE,66,20.820000000000004,7,7
Others,21880,RED AND WHITE SPOT TAPE,24,15.600000000000001,2,2
Others,21880,RED RETROSPOT TAPE,188,100.12,14,14
Others,21881,CUTE CATS TAPE,76,38.36000000000001,8,8
Others,21882,SKULLS TAPE,95,50.71000000000001,9,9
Others,21883,STARS GIFT TAPE ,130,51.38,13,13
Others,21884,CAKES AND BOWS GIFT  TAPE,112,28.640000000000004,7,7
Others,21888,BINGO SET,250,937.5,64,60
Others,21889,WOODEN BOX OF DOMINOES,973,1188.8899999999999,70,66
Others,21890,S/6 WOODEN SKITTLES IN COTTON BAG,259,794.95,49,47
Others,21891,TRADITIONAL WOODEN SKIPPING ROPE,601,810.65,59,56
Others,21892,TRADITIONAL WOODEN CATCH CUP GAME ,635,793.75,59,57
Others,21894,POTTING SHED SEED ENVELOPES,80,100.0,8,8
Others,21895,POTTING SHED SOW 'N' GROW SET,24,102.0,7,7
Others,21896,POTTING SHED TWINE,264,527.4,20,19
Others,21897,POTTING SHED CANDLE CITRONELLA,62,182.90000000000003,7,7
Others,21898,POTTING SHED ROSE CANDLE,35,103.25000000000001,6,6
Others,21899,GARAGE KEY FOB,116,75.4,11,11
Others,21899,"KEY FOB , GARAGE DESIGN",809,450.84999999999997,17,17
Others,21900,"KEY FOB , SHED",981,562.65,35,32
Others,21901,"KEY FOB , BACK DOOR ",873,492.45,29,28
Others,21902,"KEY FOB , FRONT  DOOR ",815,454.75,21,20
Others,21903,MAN FLU METAL SIGN,151,317.1,21,21
Others,21904,HOUSE WRECKING METAL SIGN ,13,27.3,6,6
Others,21905,MORE BUTTER METAL SIGN ,41,46.800000000000004,13,12
Others,21906,PHARMACIE FIRST AID TIN,111,736.45,32,29
Others,21907,I'M ON HOLIDAY METAL SIGN,423,864.3000000000001,43,39
Others,21908,CHOCOLATE THIS WAY METAL SIGN,403,798.3000000000001,40,35
Others,21910,WAY OUT METAL SIGN ,28,46.2,5,5
Others,21911,GARDEN METAL SIGN ,80,132.0,15,14
Others,21912,VINTAGE SNAKES & LADDERS,226,847.5,63,58
Others,21913,VINTAGE SEASIDE JIGSAW PUZZLES,83,311.25,24,22
Others,21914,BLUE HARMONICA IN BOX ,652,815.0,45,41
Others,21915,RED  HARMONICA IN BOX ,662,827.5,52,50
Others,21916,SET 12 RETRO WHITE CHALK STICKS,335,140.7,25,24
Others,21917,SET 12 KIDS  WHITE CHALK STICKS,451,189.42,25,25
Others,21918,SET 12 KIDS COLOUR  CHALK STICKS,882,353.16,36,34
Others,21922,UNION STRIPE WITH FRINGE  HAMMOCK,33,262.35,18,18
Others,21923,RED/CREAM STRIPE FRINGE HAMMOCK,5,39.75,3,3
Others,21924,BLUE/CREAM STRIPE FRINGE HAMMOCK,7,55.65,6,5
Others,21925,UNION STRIPE CUSHION COVER ,149,186.25,16,15
Others,21926,RED/CREAM STRIPE CUSHION COVER ,95,118.75,14,11
Others,21927,BLUE/CREAM STRIPE CUSHION COVER ,93,116.25,14,12
Others,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,209,405.72,22,22
Others,21928,JUMBO BAG SCANDINAVIAN PAISLEY,445,777.75,21,19
Others,21929,JUMBO BAG PINK VINTAGE PAISLEY,534,1006.13,48,41
Others,21930,JUMBO STORAGE BAG SKULLS,466,877.0,35,32
Others,21931,JUMBO STORAGE BAG SUKI,1027,1871.71,63,52
Others,21932,SCANDINAVIAN PAISLEY PICNIC BAG,152,283.3,31,26
Others,21933,PINK VINTAGE PAISLEY PICNIC BAG,286,618.3,30,26
Others,21934,SKULL SHOULDER BAG,194,300.1,13,13
Others,21935,SUKI  SHOULDER BAG,270,425.5,22,22
Others,21936,RED RETROSPOT PICNIC BAG,272,762.4,39,34
Others,21936,RED/WHITE SPOT PICNIC BAG,16,47.2,3,3
Others,21937,STRAWBERRY   PICNIC BAG,259,704.05,25,23
Others,21942,SKULLS DESIGN FLANNEL,55,44.449999999999996,6,6
Others,21943,CAKES AND RABBITS DESIGN FLANNEL ,24,20.4,2,2
Others,21945,STRAWBERRIES  DESIGN FLANNEL ,48,40.8,4,4
Others,21946,PARTY TIME DESIGN FLANNEL,17,12.149999999999999,2,2
Others,21947,SET OF 6 HEART CHOPSTICKS,66,82.5,9,9
Others,21948,SET OF 6 CAKE CHOPSTICKS,16,20.0,4,3
Others,21949,SET OF 6 STRAWBERRY CHOPSTICKS,32,40.0,7,7
Others,21955,  DOORMAT UNION JACK GUNS AND ROSES,13,79.75,3,3
Others,21955,DOOR MAT UNION JACK GUNS AND ROSES,18,123.42,6,6
Others,21955,DOORMAT UNION JACK GUNS AND ROSES,38,302.24,17,15
Others,21955,UNION JACK GUNS & ROSES  DOORMAT,6,40.5,2,2
Others,21967,PACK OF 12 SKULL TISSUES,682,212.27999999999997,27,24
Others,21972,SET OF 36 DINOSAUR PAPER DOILIES,99,143.54999999999998,10,9
Others,21973,SET OF 36 MUSHROOM PAPER DOILIES,166,240.7,17,17
Others,21974,SET OF 36 PAISLEY FLOWER DOILIES,734,1064.3,71,66
Others,21975,PACK OF 60 DINOSAUR CAKE CASES,1298,713.9,79,65
Others,21976,PACK OF 60 MUSHROOM CAKE CASES,1041,572.55,55,53
Others,21977,PACK OF 60 PINK PAISLEY CAKE CASES,2250,1221.8999999999999,113,100
Others,21980,PACK OF 12 RED RETROSPOT TISSUES ,969,304.10999999999996,47,45
Others,21980,PACK OF 12 RED SPOTTY TISSUES ,695,201.54999999999998,15,15
Others,21981,PACK OF 12 WOODLAND TISSUES ,882,272.67999999999995,37,34
Others,21982,PACK OF 12 SUKI TISSUES ,735,224.14999999999998,37,34
Others,21983,PACK OF 12 BLUE PAISLEY TISSUES ,754,233.05999999999997,27,27
Others,21984,PACK OF 12 PINK PAISLEY TISSUES ,864,271.46,36,33
Others,21985,PACK OF 12 HEARTS DESIGN TISSUES ,1879,585.87,59,55
Others,21986,PACK OF 12 PINK POLKADOT TISSUES,486,153.23999999999998,29,27
Others,21986,PACK OF 12 PINK SPOT TISSUES ,438,127.02,9,9
Others,21987,PACK OF 6 SKULL PAPER CUPS,462,274.38,25,24
Others,21988,PACK OF 6 SKULL PAPER PLATES,440,333.68,27,27
Others,21989,PACK OF 20 SKULL PAPER NAPKINS,468,357.47999999999996,30,29
Others,21990,MODERN FLORAL STATIONERY SET,220,329.40000000000003,26,26
Others,21991,BOHEMIAN COLLAGE STATIONERY SET,121,180.15,15,14
Others,21992,VINTAGE PAISLEY STATIONERY SET,239,431.35,42,40
Others,21993,FLORAL FOLK STATIONERY SET,228,351.3,34,34
Others,22021,BLUE FELT EASTER EGG BASKET,30,49.5,3,3
Others,22023,EMPIRE BIRTHDAY CARD,324,131.76,20,20
Others,22024,RAINY LADIES BIRTHDAY CARD,228,95.76,17,15
Others,22025,RING OF ROSES BIRTHDAY CARD,144,60.480000000000004,11,10
Others,22026,BANQUET BIRTHDAY  CARD  ,252,105.84,19,17
Others,22027,TEA PARTY BIRTHDAY CARD,500,210.0,38,37
Others,22028,PENNY FARTHING BIRTHDAY CARD,252,105.84,18,17
Others,22029,SPACE BOY BIRTHDAY CARD,48,20.16,4,4
Others,22029,SPACEBOY BIRTHDAY CARD,504,211.68,37,32
Others,22030,SWALLOWS GREETING CARD,432,181.44,31,30
Others,22031,BOTANICAL LAVENDER BIRTHDAY CARD,72,30.240000000000002,6,6
Others,22032,BOTANICAL LILY GREETING CARD,121,50.82,10,10
Others,22033,BOTANICAL ROSE GREETING CARD,156,65.52,8,8
Others,22034,ROBIN CHRISTMAS CARD,36,15.120000000000001,3,3
Others,22035,VINTAGE CARAVAN GREETING CARD ,204,85.68,12,11
Others,22036,DINOSAUR BIRTHDAY CARD,36,15.120000000000001,3,3
Others,22037,ROBOT BIRTHDAY CARD,420,176.4,31,29
Others,22038,BOTANICAL LAVENDER GIFT WRAP ,75,31.5,3,3
Others,22039,BOTANICAL LILY GIFT WRAP,50,21.0,2,2
Others,22040,BOTANICAL ROSE GIFT WRAP,175,73.5,7,7
Others,22041,"RECORD FRAME 7"" SINGLE SIZE ",114,269.1,10,9
Others,22042,CHRISTMAS CARD SINGING ANGEL,96,34.800000000000004,6,6
Others,22043,CHRISTMAS CARD SCREEN PRINT ,240,75.60000000000001,6,6
Others,22044,CHRISTMAS CARD STACK OF PRESENTS,120,31.080000000000002,6,6
Others,22045,SPACE BOY GIFT WRAP,50,21.0,2,2
Others,22045,SPACEBOY GIFT WRAP,800,336.0,31,27
Others,22046,TEA PARTY  WRAPPING PAPER ,575,225.5,16,15
Others,22047,EMPIRE GIFT WRAP,375,157.5,15,15
Others,22048,BIRTHDAY BANQUET GIFT WRAP,250,105.0,10,10
Others,22049,WRAP CHRISTMAS SCREEN PRINT,225,54.25,9,9
Others,22050,PINK PAISLEY ROSE GIFT WRAP,225,94.5,9,9
Others,22051,BLUE SCANDINAVIAN PAISLEY WRAP,225,94.5,8,8
Others,22052,VINTAGE CARAVAN GIFT WRAP,271,113.82,8,8
Others,22053,EMPIRE DESIGN ROSETTE,30,37.5,5,5
Others,22054,MINI CAKE STAND HANGING HEARTS,24,39.599999999999994,3,3
Others,22055,MINI CAKE STAND  HANGING STRAWBERY,294,437.12,37,30
Others,22056,CERAMIC PLATE LOVE HEART DESIGN,12,17.88,1,1
Others,22057,CERAMIC PLATE STRAWBERRY DESIGN,171,219.59,18,16
Others,22058,CERAMIC LOVE HEARTS DESIGN MUG,19,28.31,4,4
Others,22059,CERAMIC STRAWBERRY DESIGN MUG,351,412.59,12,11
Others,22059,CERAMIC STRWBERRY DESIGN MUG,182,248.14,8,8
Others,22060,LARGE CAKE STAND HANGING HEARTS,32,253.0,9,9
Others,22061,LARGE CAKE STAND  HANGING STRAWBERY,98,919.0999999999999,39,31
Others,22062,CERAMIC BOWL WITH LOVE HEART DESIGN,45,50.07,8,8
Others,22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,176,427.04,23,19
Others,22064,PINK DOUGHNUT TRINKET POT ,341,492.57,25,21
Others,22065,CHRISTMAS PUDDING TRINKET POT ,410,342.21999999999997,27,27
Others,22066,LOVE HEART TRINKET POT,426,266.78,26,24
Others,22067,CHOC TRUFFLE GOLD TRINKET POT ,282,429.3,17,14
Others,22068,BLACK PIRATE TREASURE CHEST,48,79.2,9,9
Others,22069,BROWN  PIRATE TREASURE CHEST ,27,25.650000000000002,3,3
Others,22070,SMALL RED RETROSPOT MUG IN BOX ,71,261.93,15,14
Others,22070,SMALL RETRO SPOT MUG IN BOX  RED,15,56.25,4,4
Others,22071,SMALL RETRO SPOT MUG IN BOX  WHITE,29,108.75,7,7
Others,22071,SMALL WHITE RETROSPOT MUG IN BOX ,41,153.75,12,11
Others,22072,RED RETROSPOT TEA CUP AND SAUCER ,137,490.71,18,16
Others,22072,TEA CUP AND SAUCER RETRO SPOT,16,60.0,4,4
Others,22073,RED RETROSPOT STORAGE JAR,62,232.5,15,14
Others,22073,RETRO SPOT STORAGE JAR,27,101.25,8,7
Others,22074,6 RIBBONS SHIMMERING PINKS ,132,164.28,13,13
Others,22075,6 RIBBONS ELEGANT CHRISTMAS ,267,420.09,23,23
Others,22076,6 RIBBONS EMPIRE  ,188,279.96,22,22
Others,22077,6 RIBBONS RUSTIC CHARM,1332,2276.7,122,109
Others,22078,RIBBON REEL LACE DESIGN ,154,323.4,23,21
Others,22079,RIBBON REEL HEARTS DESIGN ,338,557.7,52,49
Others,22080,RIBBON REEL POLKADOTS ,97,160.05,14,14
Others,22080,RIBBON REEL SPOTS DESIGN ,194,320.1,24,23
Others,22081,RIBBON REEL FLORA + FAUNA ,157,259.05,23,23
Others,22082,RIBBON REEL STRIPES DESIGN ,722,1167.3,82,71
Others,22083,PAPER CHAIN KIT RETRO SPOT,362,1003.9000000000001,32,31
Others,22083,PAPER CHAIN KIT RETROSPOT,498,1405.1000000000001,53,48
Others,22084,PAPER CHAIN KIT EMPIRE,1211,3236.4500000000003,56,51
Others,22085,PAPER CHAIN KIT SKULLS ,161,442.95000000000005,13,11
Others,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2189,5912.75,137,117
Others,22087,PAPER BUNTING WHITE LACE,196,578.2,30,29
Others,22088,PAPER BUNTING COLOURED LACE,148,436.6,23,23
Others,22089,PAPER BUNTING VINTAGE PAISLEY,255,736.2500000000001,40,39
Others,22090,PAPER BUNTING RETRO SPOTS,233,671.3500000000001,29,28
Others,22090,PAPER BUNTING RETROSPOT,386,1106.7,58,56
Others,22091,EMPIRE TISSUE BOX,456,406.76,32,28
Others,22092,BLUE PAISLEY TISSUE BOX,118,60.64,16,16
Others,22093,MOTORING TISSUE BOX,155,78.50999999999999,21,21
Others,22094,RED POLKA DOT TISSUE BOX,73,84.41,5,5
Others,22094,RED RETROSPOT TISSUE BOX,271,137.73,20,19
Others,22095,LADS ONLY TISSUE BOX,132,110.0,23,23
Others,22096,PINK PAISLEY SQUARE TISSUE BOX ,205,134.13,22,22
Others,22097,SWALLOW SQUARE TISSUE BOX,103,67.69,20,20
Others,22098,BOUDOIR SQUARE TISSUE BOX,260,187.4,22,21
Others,22099,CARAVAN SQUARE TISSUE BOX,182,117.42,22,22
Others,22100,SKULLS SQUARE TISSUE BOX,94,53.0,9,8
Others,22101,MIRROR MOSAIC VOTIVE HOLDER,59,78.9,6,5
Others,22102,MIRROR MOSAIC T-LIGHT HOLDER ,22,36.3,5,5
Others,22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,67,110.55,10,9
Others,22104,MIRROR MOSAIC CANDLE PLATE,70,52.06,5,5
Others,22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,14,59.5,4,3
Others,22106,MIRROR MOSAIC HURRICANE LAMP ,19,118.65,4,4
Others,22107,PIZZA PLATE IN BOX,45,148.75,13,13
Others,22108,PING! MICROWAVE PLATE,5,18.75,2,2
Others,22109,FULL ENGLISH BREAKFAST PLATE,96,348.48,23,21
Others,22110,BIRD HOUSE HOT WATER BOTTLE,170,401.1,28,26
Others,22111,SCOTTIE DOG HOT WATER BOTTLE,338,1673.1000000000001,89,80
Others,22112,CHOCOLATE HOT WATER BOTTLE,449,2086.05,83,70
Others,22113,GREY HEART HOT WATER BOTTLE,337,1315.85,71,61
Others,22114,HOT WATER BOTTLE TEA AND SYMPATHY,338,1365.7,82,73
Others,22115,METAL SIGN EMPIRE TEA,228,409.08000000000004,39,36
Others,22116,METAL SIGN HIS DINNER IS SERVED,43,66.37,8,8
Others,22117,METAL SIGN HER DINNER IS SERVED ,97,286.15000000000003,20,18
Others,22118,JOY WOODEN BLOCK LETTERS,36,178.2,15,14
Others,22119, PEACE WOODEN BLOCK LETTERS,5,34.75,2,2
Others,22119,PEACE WOODEN BLOCK LETTERS,39,271.05,18,18
Others,22120,WELCOME  WOODEN BLOCK LETTERS,46,440.3,16,14
Others,22121,NOEL WOODEN BLOCK LETTERS ,88,505.6,21,19
Others,22122,SET OF 2 FANCY FONT TEA TOWELS,51,150.45000000000002,6,6
Others,22123,PING MICROWAVE APRON,78,164.1,12,11
Others,22124,SET OF 2 TEA TOWELS PING MICROWAVE,7,20.650000000000002,2,2
Others,22125,UNION JACK HOT WATER BOTTLE ,9,53.550000000000004,5,5
Others,22127,PARTY CONES CARNIVAL ASSORTED,341,426.25,19,17
Others,22128,PARTY CONES CANDY ASSORTED,690,816.9,29,26
Others,22129,PARTY CONES CANDY DECORATION,12,10.2,1,1
Others,22129,PARTY CONES CANDY TREE DECORATION,240,204.0,12,12
Others,22130,PARTY CONE CHRISTMAS DECORATION ,699,575.43,37,35
Others,22131,FOOD CONTAINER SET 3 LOVE HEART ,171,333.45,41,34
Others,22132,RED LOVE HEART SHAPE CUP,287,243.95,21,18
Others,22133,PINK LOVE HEART SHAPE CUP,170,144.5,14,13
Others,22134,LADLE LOVE HEART RED ,60,25.2,5,5
Others,22134,MINI LADLE LOVE HEART RED ,36,15.120000000000001,3,3
Others,22135,LADLE LOVE HEART PINK,36,15.120000000000001,3,3
Others,22135,MINI LADLE LOVE HEART PINK,24,10.08,2,2
Others,22136,LOVE HEART SOCK HANGER,121,199.65,15,15
Others,22137,BATHROOM SET LOVE HEART DESIGN,6,17.700000000000003,1,1
Others,22138,BAKING SET 9 PIECE RETROSPOT ,939,4564.05,241,214
Others,22139,RETRO SPOT TEA SET CERAMIC 11 PC ,280,1369.2,66,62
Others,22139,RETROSPOT TEA SET CERAMIC 11 PC ,378,1854.3,101,89
Others,22141,CHRISTMAS CRAFT TREE TOP ANGEL,214,425.40000000000003,22,22
Others,22142,CHRISTMAS CRAFT WHITE FAIRY ,330,446.49999999999994,24,23
